Date,Product,Lot,MDL,MDA,MDB,TDL,TDA,TDB,STR,Metal
2/7/2022,BK012,31481,0,-0.09,-0.12,0.03,0.05,0.04,99.64,260
2/10/2022,BK012,31482,0.17,-0.09,-0.1,-0.54,0.06,0.04,103.59,260
2/10/2022,BK012,31801,0.27,-0.06,-0.04,-0.55,0.06,0.01,103.68,200
1/16/2022,BK012,31802,-0.05,0.01,0.01,-0.02,0,-0.17,100.28,180
1/16/2022,BK012,31803,0.13,-0.03,0.02,-0.06,0.03,-0.07,100.39,180
1/22/2022,BK012,31804,0.05,-0.04,0.08,-0.16,0.02,-0.02,101.1,210
1/17/2022,BK012,31805,0.05,-0.08,-0.03,-0.11,0.03,-0.03,100.73,210
1/22/2022,BK012,31806,0.16,0,0.11,-0.42,0,-0.24,103.06,230
1/18/2022,BK012,31807,0.06,-0.06,0.02,0.62,0.03,0.13,95.83,210
1/19/2022,BK012,33099,0.07,-0.01,0.04,-0.41,0.02,0.05,102.71,230
1/19/2022,BK012,33101,-0.03,-0.02,0,-0.32,0.02,0.11,102.03,220
2/25/2022,BK012,34069,0.09,0,0.01,0.19,0.03,-0.08,98.69,220
3/1/2022,BK012,34070,0.1,-0.1,-0.26,-0.24,0.02,0.07,101.5,210
3/1/2022,BK012,34071,0.19,-0.08,-0.14,-0.22,0.05,0.02,101.39,220
3/1/2022,BK012,34072,0.02,-0.03,-0.06,-0.12,0.03,-0.04,100.75,230
3/6/2022,BK012,34342,0.07,-0.06,-0.03,1.06,0,0.21,93.11,240
3/7/2022,BK012,34343,-0.04,-0.02,-0.02,0.33,0,-0.07,97.94,220
3/7/2022,BK012,34344,0.03,-0.04,0.04,0.01,-0.02,-0.15,100.14,200
3/11/2022,BK012,34345,0.01,-0.04,-0.05,0.24,0.03,0.03,98.35,220
3/10/2022,BK012,34704,0.01,-0.07,-0.06,0.27,0.06,0.16,98.05,200
3/10/2022,BK012,34705,0.02,-0.07,-0.08,0.24,0.06,0.16,98.21,200
3/13/2022,BK012,34706,-0.01,-0.06,-0.01,0.27,0.03,-0.05,98.18,220
3/14/2022,BK012,34707,0.02,-0.02,-0.02,0.02,0.05,-0.01,99.82,160
3/14/2022,BK012,34962,0.02,-0.02,-0.02,0.35,0.04,-0.07,97.71,180
