Date,Product,Lot,MDL,MDA,MDB,TDL,TDA,TDB,STR,NiTi
1/14/2021,YL001,8029,1,-0.7,-2.6,0.1,-0.1,-0.2,101,0.3
1/14/2021,YL001,8721,1.4,-0.7,-3.3,-0.1,0,-0.3,103,0.3
1/21/2021,YL001,8722,1.7,-1.1,-3.9,0.2,-0.2,-0.2,102,0.3
1/22/2021,YL001,8723,0.4,-0.4,-1.3,0,-0.1,-0.3,99,0.3
1/26/2021,YL001,8724,0.9,-0.6,-1.3,-0.2,-0.1,-0.6,100,0.3
3/13/2021,YL001,10488,-0.3,0.1,-1.4,-0.1,0.2,-0.6,98,0.3
3/13/2021,YL001,10489,0.7,-0.5,-1.8,0.1,0,-0.2,100,0.3
3/22/2021,YL001,10490,1.9,-1,-3.1,0.2,-0.3,0.4,105,0.3
3/22/2021,YL001,10491,0.9,-0.6,-0.9,0.1,-0.2,0.4,103,0.3
3/22/2021,YL001,11259,1.1,-0.4,-2.4,-0.1,-0.2,0,105,0.3
3/22/2021,YL001,11260,-2.8,2,3.4,-0.4,0.5,-1.2,93,0.3
3/29/2021,YL001,12422,-1.2,3,-0.4,-0.5,1.1,0,87,0.3
3/31/2021,YL001,13004,-0.7,0.9,0.3,-0.1,0.4,-0.7,95,0.3
4/3/2021,YL001,13005,1.3,-0.9,-4,0.1,-0.1,-0.3,102,0.3
4/3/2021,YL001,13006,-0.9,1.2,-0.6,-0.3,0.5,-0.2,100,0.3
4/21/2021,YL001,13466,0.9,-0.2,-3.5,-0.1,0.1,-0.2,102,0.3
5/3/2021,YL001,14225,1.1,-0.7,-3.9,0,0,-0.8,99,0.3
5/3/2021,YL001,14226,1.4,-0.7,-4.9,0,-0.1,-0.3,104,0.3
5/3/2021,YL001,14227,1.3,-0.6,-4.7,0,-0.1,-0.1,105,0.3
6/3/2021,YL001,14802,1.8,-0.9,-5,0.1,-0.1,-0.3,103,0.3
7/10/2021,YL001,17696,0.5,-0.3,-3,-0.1,0,-0.7,99,0.3
7/10/2021,YL001,19216,0.1,0,-0.8,-0.2,0.1,-0.5,99,0.3
7/10/2021,YL001,19217,0.6,-0.5,-1.7,0,0.1,-0.9,97,0.3
9/2/2021,YL001,20001,1.3,-0.4,-5.4,-0.1,0,-0.1,105,0.3
9/2/2021,YL001,20002,1.2,-0.6,-4.9,0,0,-0.4,102,0.3
9/9/2021,YL001,22059,1,-0.6,-3.6,0,0,-0.2,,0.3
9/13/2021,YL001,22060,-1.2,0.7,1.2,-0.2,0.2,-0.5,97,0.3
10/31/2021,YL001,23963,-3.1,1,3.3,-0.2,0.5,-1.6,87,0.3
11/2/2021,YL001,23964,-1.6,0.2,2.6,0,0.1,-0.8,92,0.3
11/12/2021,YL001,23965,-3.3,1.1,2.9,-0.2,0.5,-1.5,88,0.3
11/8/2021,YL001,23966,-2,0.7,1.4,-0.2,0.4,-1,92,0.3
10/30/2021,YL001,24825,0.6,-0.1,-3.3,-0.1,0.1,-0.3,87,0.3
10/30/2021,YL001,24826,0.4,-0.3,-2.2,-0.1,0.1,-0.3,102,0.3
11/2/2021,YL001,24827,1.2,-0.7,-3.1,0,0,-0.5,100,0.3
11/4/2021,YL001,26812,-4.6,2.5,1.9,-0.5,0.9,-1.5,91,0.3
12/7/2021,YL001,26813,-1.8,1.6,-4.1,-0.7,0.7,-0.9,102,0.3
11/4/2021,YL001,26814,-0.4,0,-1.7,-0.1,0.1,-0.5,99,0.3
12/7/2021,YL001,26815,-0.7,0.4,-0.4,0.1,-0.2,0.3,102,0.3
12/7/2021,YL001,26811,-0.2,0.6,-3,-0.5,0.3,-0.6,103,0.3
11/29/2021,YL001,29256,2.1,-0.9,-6.6,-0.2,-0.2,0.4,113,0.3
11/30/2021,YL001,29257,1,-0.5,-2.4,-0.1,-0.1,0.2,105,0.3
12/6/2021,YL001,29676,-1.2,0.4,-0.3,-0.3,0.2,-0.9,97,0.3
12/6/2021,YL001,29677,-3.9,1.6,3.3,-0.2,0.7,-2.1,84,0.3
1/17/2022,YL001,29679,-4.2,1.8,3.6,0,0.9,-2.3,80.4,0.3
2/25/2022,YL001,29680,-3.1,1.4,2.7,-0.1,0.7,-1.7,85,0.3
1/14/2022,YL001,29995,-0.1,-0.2,1,0.2,-0.1,-0.2,96.7,0.3
