Date,Product,Lot,MDL,MDA,MDB,TDL,TDA,TDB,STR,325MSH
2/5/2022,BR040,31785,0.4,0.1,-0.1,-0.2,0.1,0.1,101,0.02
2/14/2022,BR040,31786,0.5,0.2,0,-0.2,0.2,0.3,102,0.01
2/5/2022,BR040,31787,0.4,0.1,-0.1,-0.3,0.2,0.2,102,0.01
2/11/2022,BR040,32123,0.7,0.2,0,-0.4,0.3,0.3,103,0.01
2/15/2022,BR040,32124,0.6,0.2,0,-0.3,0.2,0.1,102,0.01
2/14/2022,BR040,32125,0.4,0.1,0,-0.2,0.2,0.2,102,0.01
2/1/2022,BR040,32126,1.3,0,-0.1,0.9,0,0.2,94,0.01
2/13/2022,BR040,32876,0.6,0,-0.1,0,0.1,0.2,100,0.01
2/13/2022,BR040,32957,0.8,0.2,0.7,0.2,0.2,0.8,99,0.02
2/14/2022,BR040,32958,1.3,0.3,1,0.7,0.2,1.1,97,0.02
2/14/2022,BR040,32959,1,0.4,1.1,0.8,0.2,1,96,0.01
2/17/2022,BR040,32960,0.4,0,-0.3,-0.3,0.2,0,102,0.01
3/9/2022,BR040,34667,1.2,0.3,-0.1,-0.5,0.5,0.6,104,0.01
3/18/2022,BR040,34744,1.6,0.4,0.8,0.6,0.3,1.1,97,0.01
3/28/2022,BR040,35352,1.2,0.3,0.9,1.2,0.1,1,93,0.01
3/18/2022,BR040,35353,0.1,0,-0.1,0.2,-0.1,-0.1,99,0.02
3/18/2022,BR040,35354,0.1,0,-0.2,-0.3,0,0,102,0.01
3/18/2022,BR040,35355,0.5,-0.1,-0.3,0.6,-0.2,-0.1,96,0.01
3/18/2022,BR040,35356,-0.2,-0.1,-0.1,0.4,-0.1,-0.2,97,0.01
3/25/2022,BR040,36126,0.1,0.1,0,0.1,0,0.1,100,0.01
3/25/2022,BR040,36127,0.4,0,-0.1,0.4,0,0,97,0.01
3/27/2022,BR040,36125,0.8,0.1,0.2,0.7,0.1,0.3,95,0.01
3/19/2022,BR040,36416,0.3,-0.2,-0.1,0.3,-0.1,0,98,0.01
