Date,Product,Lot,MDL,MDA,MDB,TDL,TDA,TDB,STR
8/30/2021,BL008,23899,-0.33,-0.23,0.91,-0.11,-0.06,-0.28,101.27
9/2/2021,BL008,24117,-0.06,-0.44,0.39,-0.02,-0.13,-0.03,100.39
9/2/2021,BL008,24118,-0.21,-1.74,1.99,-0.37,-0.24,-0.1,103.68
9/3/2021,BL008,24119,-0.17,-0.39,0.65,-0.35,-0.14,-0.45,103.71
9/18/2021,BL008,24397,0.19,-0.74,0.42,-0.31,-0.19,-0.33,103.26
9/23/2021,BL008,24398,0.2,0.41,-0.77,-0.24,0.01,-0.43,102.44
9/13/2021,BL008,24562,-0.02,-0.02,0.11,-0.22,-0.07,-0.37,102.32
9/21/2021,BL008,24563,0.14,0.65,-0.75,-0.19,0.06,-0.41,101.85
9/26/2021,BL008,24564,0.21,-0.08,-0.24,-0.29,-0.12,-0.34,103.04
9/30/2021,BL008,24565,0.1,0.86,-0.9,-0.38,0.04,-0.67,103.92
9/30/2021,BL008,25380,-0.14,1.21,-0.95,-0.37,0.08,-0.62,103.74
10/3/2021,BL008,25381,-0.33,0.96,-0.35,-0.33,0.1,-0.49,103.21
10/1/2021,BL008,25382,-0.05,0.49,-0.46,-0.22,-0.03,-0.41,102.33
9/21/2021,BL008,25408,0.04,-0.25,0.14,-0.17,-0.13,-0.22,101.84
9/21/2021,BL008,25409,-0.21,-0.31,0.82,-0.21,-0.07,-0.27,102.08
9/28/2021,BL008,25691,0.23,0.27,-0.7,-0.2,0.02,-0.4,102.05
9/27/2021,BL008,25760,-0.06,-0.8,0.91,-0.16,-0.11,-0.1,101.67
10/4/2021,BL008,26449,0.1,-0.04,-0.05,-0.1,-0.1,-0.23,101.28
10/15/2021,BL008,26607,0.46,-1.56,0.69,-0.36,-0.21,-0.09,103.59
10/16/2021,BL008,26608,-0.01,-0.66,0.43,-0.27,-0.12,-0.17,102.73
10/21/2021,BL008,26609,0.04,1.01,-1.04,-0.11,0.06,-0.4,101.27
10/20/2021,BL008,26773,0.19,1.14,-1.42,-0.16,0.05,-0.44,101.73
10/20/2021,BL008,26774,0.04,0.62,-0.8,-0.14,0.09,-0.3,101.52
10/23/2021,BL008,27285,0.11,-1.08,0.85,-0.03,-0.15,0.09,100.43
10/29/2021,BL008,27286,-0.14,-0.57,0.67,-0.16,-0.16,-0.15,101.79
